case_name,eta_mode,Q_aux_tot,dry_time,M_prod_fin,MR_fin,Irradiacion,eta_mean_all,eta_mean_positive,eta_min,eta_max
H2_historical,eta_constant_0p50,807.024105756802,19.9,0.352363192839444,0.0444828358007776,314.2959354,0.3225,0.5,0,0.5
H2_historical,eta_historical_code_curve,705.171352393028,19.9,0.352363192839444,0.0444828358007776,412.063725306855,0.422819821841898,0.655534607506819,0,0.655985034420103
H2_historical,eta_article_2SAH_curve,746.998692636637,19.9,0.352363192839444,0.0444828358007776,357.848012894498,0.36718891706824,0.569285142741457,0,0.569977012406572
R1_solution_7,eta_constant_0p50,707.174805692204,19.9,0.503191237196046,0.0719758233190115,314.2959354,0.3225,0.5,0,0.5
R1_solution_7,eta_historical_code_curve,618.25579590337,19.9,0.491990346563586,0.0699280071485133,412.063725306855,0.422819821841898,0.655534607506819,0,0.655985034420103
R1_solution_7,eta_article_2SAH_curve,656.225753298297,19.9,0.495500593944091,0.0705698097386457,357.848012894498,0.36718891706824,0.569285142741457,0,0.569977012406572
R1_solution_3,eta_constant_0p50,787.593540569231,19.9,0.409375211598308,0.0548639767992437,314.2959354,0.3225,0.5,0,0.5
R1_solution_3,eta_historical_code_curve,676.244969806906,19.9,0.410155931345188,0.0550070352003828,412.063725306855,0.422819821841898,0.655534607506819,0,0.655985034420103
R1_solution_3,eta_article_2SAH_curve,723.360410178502,19.9,0.409736625681787,0.0549302023474136,357.848012894498,0.36718891706824,0.569285142741457,0,0.569977012406572
R1_solution_9,eta_constant_0p50,1286.58645761099,19.9,0.185863859845786,0.013876256374361,314.2959354,0.3225,0.5,0,0.5
R1_solution_9,eta_historical_code_curve,1134.580822788,19.9,0.185863859845786,0.013876256374361,412.063725306855,0.422819821841898,0.655534607506819,0,0.655985034420103
R1_solution_9,eta_article_2SAH_curve,1218.4069486839,19.9,0.185863859845786,0.013876256374361,357.848012894498,0.36718891706824,0.569285142741457,0,0.569977012406572
