file,line_number,matched_patterns,line_text
design_triobjective_formal_run_v96l.m,102,"x_selected","x_selected = [ ..."
design_triobjective_formal_run_v96l.m,108,"lb_global","lb_global = [0.05, 55, 0.00, 8.00];"
design_triobjective_formal_run_v96l.m,109,"ub_global","ub_global = [0.12, 70, 0.95, 14.00];"
design_triobjective_formal_run_v96l.m,111,"delta_formal","delta_formal = [0.020, 5.0, 0.25, 3.0];"
design_triobjective_formal_run_v96l.m,113,"x_selected, lb_global, delta_formal, lb_formal","lb_formal = max(lb_global, x_selected - delta_formal);"
design_triobjective_formal_run_v96l.m,114,"x_selected, ub_global, delta_formal, ub_formal","ub_formal = min(ub_global, x_selected + delta_formal);"
design_triobjective_formal_run_v96l.m,116,"nvars","nvars = 4;"
design_triobjective_formal_run_v96l.m,205,"x_selected","[f, d, status, errMsg] = local_eval_triobjective_v96l(x_selected, mode);"
design_triobjective_formal_run_v96l.m,206,"x_selected","preRows{end+1,1} = local_preflight_row_v96l(mode, x_selected, f, d, status, errMsg); %#ok<AGROW>"
design_triobjective_formal_run_v96l.m,381,"save","save(outMat, ..."
design_triobjective_formal_run_v96l.m,383,"x_selected, lb_global, ub_global, delta_formal, lb_formal, ub_formal, nvars","'x_selected','lb_global','ub_global','delta_formal','lb_formal','ub_formal','nvars', ..."
design_triobjective_formal_run_v96l.m,415,"lb_formal, ub_formal","fprintf(fid,'| m_max | %.12g | %.12g |\n', lb_formal(1), ub_formal(1));"
design_triobjective_formal_run_v96l.m,416,"lb_formal, ub_formal","fprintf(fid,'| T_min | %.12g | %.12g |\n', lb_formal(2), ub_formal(2));"
design_triobjective_formal_run_v96l.m,417,"lb_formal, ub_formal","fprintf(fid,'| r_div2 | %.12g | %.12g |\n', lb_formal(3), ub_formal(3));"
design_triobjective_formal_run_v96l.m,418,"lb_formal, ub_formal","fprintf(fid,'| t_rec_ini | %.12g | %.12g |\n\n', lb_formal(4), ub_formal(4));"
design_triobjective_formal_run_v96l.m,544,"x_selected","design.x_selected = x_selected;"
design_triobjective_formal_run_v96l.m,545,"lb_formal","design.lb_formal = lb_formal;"
design_triobjective_formal_run_v96l.m,546,"ub_formal","design.ub_formal = ub_formal;"
